Modelo,metrica,mediana entrenamiento,iqr entrenamiento,mediana validacion,iqr validacion,mediana test,iqr test
1,accuracy,0.9964583333333332,0.005208333333333259,0.9791666666666666,0.009583333333333166,0.9773333333333334,0.009999999999999787
2,accuracy,0.9722916666666668,0.028020833333333384,0.95,0.03166666666666673,0.9446666666666668,0.03333333333333344
3,accuracy,0.8779166666666667,0.14802083333333338,0.85,0.1312500000000001,0.8446666666666667,0.13966666666666672
1,micro_avg_precision,0.9964583333333332,0.005208333333333259,0.9791666666666666,0.009583333333333166,0.9773333333333334,0.009999999999999787
2,micro_avg_precision,0.9722916666666668,0.028020833333333384,0.95,0.03166666666666673,0.9446666666666668,0.03333333333333344
3,micro_avg_precision,0.8779166666666667,0.14802083333333338,0.85,0.1312500000000001,0.8446666666666667,0.13966666666666672
1,micro_avg_recall,0.9964583333333332,0.005208333333333259,0.9791666666666666,0.009583333333333166,0.9773333333333334,0.009999999999999787
2,micro_avg_recall,0.9722916666666668,0.028020833333333384,0.95,0.03166666666666673,0.9446666666666668,0.03333333333333344
3,micro_avg_recall,0.8779166666666667,0.14802083333333338,0.85,0.1312500000000001,0.8446666666666667,0.13966666666666672
1,micro_avg_f1,0.9964583333333332,0.005208333333333259,0.9791666666666666,0.009583333333333166,0.9773333333333334,0.009999999999999787
2,micro_avg_f1,0.9722916666666668,0.028020833333333384,0.95,0.03166666666666673,0.9446666666666668,0.03333333333333344
3,micro_avg_f1,0.8779166666666667,0.14802083333333338,0.85,0.1312500000000001,0.8446666666666667,0.13966666666666672
1,macro_avg_precision,0.9964745317687064,0.005034325285365293,0.9795934129361572,0.008681522432568367,0.978047136696059,0.00866596646547646
2,macro_avg_precision,0.9733347825797956,0.02467884784426322,0.9524650324731664,0.02876479595940018,0.9476884483325956,0.027494599722704516
3,macro_avg_precision,0.8955224968776234,0.11558063481820557,0.8682475113776276,0.10336400002573332,0.8621456928859083,0.10788429776545228
1,macro_avg_recall,0.9964583333333332,0.005208333333333259,0.9791666666666669,0.009583333333333277,0.9773333333333334,0.010000000000000009
2,macro_avg_recall,0.9722916666666668,0.028020833333333384,0.95,0.03166666666666673,0.9446666666666664,0.033333333333333215
3,macro_avg_recall,0.8779166666666667,0.1480208333333335,0.85,0.1312500000000001,0.8446666666666667,0.1396666666666666
1,macro_avg_f1,0.996458142134715,0.005189761127676107,0.9791861362820072,0.00948800184348464,0.9773216267009784,0.009920608710079382
2,macro_avg_f1,0.9723793883895572,0.02840626713030603,0.9500393370288844,0.03188284873221969,0.9442948590275096,0.03333014463112882
3,macro_avg_f1,0.8783078214932292,0.14978020696085736,0.8491988631251809,0.13594721075227445,0.8458865647082773,0.14142999727385974
